employee_id,experience_years,training_hours,working_hours_per_week,num_projects,productivity_score
E001,1,20,39,1,57
E002,2,25,40,2,62.5
E003,3,30,41,2,66
E004,4,35,42,3,71.5
E005,5,40,38,3,75
E006,6,45,39,4,80.5
E007,7,50,40,4,84
E008,8,55,41,5,89.5
E009,9,60,42,5,93
E010,10,65,38,6,98.5
E011,1,21,40,1,57.1
E012,2,26,41,2,62.6
E013,3,31,42,2,66.1
E014,4,36,43,3,71.6
E015,5,41,39,3,75.1
E016,6,46,40,4,80.6
E017,7,51,41,4,84.1
E018,8,56,42,5,89.6
E019,9,61,43,5,93.1
E020,10,66,39,6,98.6
E021,1,22,39,1,57.2
E022,2,27,40,2,62.7
E023,3,32,41,2,66.2
E024,4,37,42,3,71.7
E025,5,42,38,3,75.2
E026,6,47,39,4,80.7
E027,7,52,40,4,84.2
E028,8,57,41,5,89.7
E029,9,62,42,5,93.2
E030,10,67,38,6,98.7
E031,1,23,40,1,57.3
E032,2,28,41,2,62.8
E033,3,33,42,2,66.3
E034,4,38,43,3,71.8
E035,5,43,39,3,75.3
E036,6,48,40,4,80.8
E037,7,53,41,4,84.3
E038,8,58,42,5,89.8
E039,9,63,43,5,93.3
E040,10,68,39,6,98.8
E041,1,24,39,1,57.4
E042,2,29,40,2,62.9
E043,3,34,41,2,66.4
E044,4,39,42,3,71.9
E045,5,44,38,3,75.4
E046,6,49,39,4,80.9
E047,7,54,40,4,84.4
E048,8,59,41,5,89.9
E049,9,64,42,5,93.4
E050,10,69,38,6,98.9
E051,1,25,40,1,57.5
E052,2,30,41,2,63
E053,3,35,42,2,66.5
E054,4,40,43,3,72
E055,5,45,39,3,75.5
E056,6,50,40,4,81
E057,7,55,41,4,84.5
E058,8,60,42,5,90
E059,9,65,43,5,93.5
E060,10,70,39,6,99
E061,1,26,39,1,57.6
E062,2,31,40,2,63.1
E063,3,36,41,2,66.6
E064,4,41,42,3,72.1
E065,5,46,38,3,75.6
E066,6,51,39,4,81.1
E067,7,56,40,4,84.6
E068,8,61,41,5,90.1
E069,9,66,42,5,93.6
E070,10,71,38,6,99.1
E071,1,27,40,1,57.7
E072,2,32,41,2,63.2
E073,3,37,42,2,66.7
E074,4,42,43,3,72.2
E075,5,47,39,3,75.7
E076,6,52,40,4,81.2
E077,7,57,41,4,84.7
E078,8,62,42,5,90.2
E079,9,67,43,5,93.7
E080,10,72,39,6,99.2
E081,1,28,39,1,57.8
E082,2,33,40,2,63.3
E083,3,38,41,2,66.8
E084,4,43,42,3,72.3
E085,5,48,38,3,75.8
E086,6,53,39,4,81.3
E087,7,58,40,4,84.8
E088,8,63,41,5,90.3
E089,9,68,42,5,93.8
E090,10,73,38,6,99.3
E091,1,29,40,1,57.9
E092,2,34,41,2,63.4
E093,3,39,42,2,66.9
E094,4,44,43,3,72.4
E095,5,49,39,3,75.9
E096,6,54,40,4,81.4
E097,7,59,41,4,84.9
E098,8,64,42,5,90.4
E099,9,69,43,5,93.9
E100,10,74,39,6,99.4
E101,1,30,39,1,58
E102,2,35,40,2,63.5
E103,3,40,41,2,67
E104,4,45,42,3,72.5
E105,5,50,38,3,76
E106,6,55,39,4,81.5
E107,7,60,40,4,85
E108,8,65,41,5,90.5
E109,9,70,42,5,94
E110,10,75,38,6,99.5
E111,1,31,40,1,58.1
E112,2,36,41,2,63.6
E113,3,41,42,2,67.1
E114,4,46,43,3,72.6
E115,5,51,39,3,76.1
E116,6,56,40,4,81.6
E117,7,61,41,4,85.1
E118,8,66,42,5,90.6
E119,9,71,43,5,94.1
E120,10,76,39,6,99.6
